Author ID,Author Name,Author URL
51403069,neta roitenberg,https://www.semanticscholar.org/author/51403069
50186409,e. bulut,https://www.semanticscholar.org/author/50186409
47074976,c. wang,https://www.semanticscholar.org/author/47074976
144124639,fei huang,https://www.semanticscholar.org/author/144124639
134761611,sofia stathi,https://www.semanticscholar.org/author/134761611
2913451,c. j. billedo,https://www.semanticscholar.org/author/2913451
2290616,p. kerkhof,https://www.semanticscholar.org/author/2290616
115641976,c. finkenauer,https://www.semanticscholar.org/author/115641976
84297715,carme garcia yeste,https://www.semanticscholar.org/author/84297715
1582189445,ouarda el miri zeguari,https://www.semanticscholar.org/author/1582189445
47546525,p. álvarez,https://www.semanticscholar.org/author/47546525
118215439,teresa morlà folch,https://www.semanticscholar.org/author/118215439
6185383,d. barni,https://www.semanticscholar.org/author/6185383
6398337,n. cavazza,https://www.semanticscholar.org/author/6398337
47321310,s. russo,https://www.semanticscholar.org/author/47321310
2654938,a. vieno,https://www.semanticscholar.org/author/2654938
5165053,m. roccato,https://www.semanticscholar.org/author/5165053
117631871,sara morgan watters,https://www.semanticscholar.org/author/117631871
17041225,a. pekerti,https://www.semanticscholar.org/author/17041225
33705300,t. okimoto,https://www.semanticscholar.org/author/33705300
4904783,c. ihlebæk,https://www.semanticscholar.org/author/4904783
1560330574,farhan sarwar,https://www.semanticscholar.org/author/1560330574
24840377,s. a. panatik,https://www.semanticscholar.org/author/24840377
89083715,h. t. jameel,https://www.semanticscholar.org/author/89083715
1405466693,f. puente-maxera,https://www.semanticscholar.org/author/1405466693
1423024388,a. méndez-giménez,https://www.semanticscholar.org/author/1423024388
104779050,d. ojeda,https://www.semanticscholar.org/author/104779050
1581378732,anna picchiarini,https://www.semanticscholar.org/author/1581378732
49538805,m. olsson,https://www.semanticscholar.org/author/49538805
1576262090,isabel sáenz hernández,https://www.semanticscholar.org/author/1576262090
1405268965,cecilio lapresta-rey,https://www.semanticscholar.org/author/1405268965
108188686,maria adelina ianos,https://www.semanticscholar.org/author/108188686
79545270,cristina petreñas,https://www.semanticscholar.org/author/79545270
48692247,shuping zhang,https://www.semanticscholar.org/author/48692247
2861865,zhu qian,https://www.semanticscholar.org/author/2861865
1584139200,sara cvetkovska,https://www.semanticscholar.org/author/1584139200
47352815,f. shu,https://www.semanticscholar.org/author/47352815
152992755,s. ahmed,https://www.semanticscholar.org/author/152992755
144666510,meghan pickett,https://www.semanticscholar.org/author/144666510
7641734,r. ayman,https://www.semanticscholar.org/author/7641734
6445621,samuel t. mcabee,https://www.semanticscholar.org/author/6445621
1390972638,lue fang,https://www.semanticscholar.org/author/1390972638
1959808,sung man bae,https://www.semanticscholar.org/author/1959808
6151235,dirk kranz,https://www.semanticscholar.org/author/6151235
1584396355,alexandra goedderz,https://www.semanticscholar.org/author/1584396355
40177825,z. p. szabó,https://www.semanticscholar.org/author/40177825
3558903,j. vollhardt,https://www.semanticscholar.org/author/3558903
5418933,n. mészáros,https://www.semanticscholar.org/author/5418933
9649312,a. dockery,https://www.semanticscholar.org/author/9649312
115597527,jonix owino,https://www.semanticscholar.org/author/115597527
2090004,c. weber,https://www.semanticscholar.org/author/2090004
1484125904,chongguang zhu,https://www.semanticscholar.org/author/1484125904
40081788,wei-ping wu,https://www.semanticscholar.org/author/40081788
17096605,shangui hu,https://www.semanticscholar.org/author/17096605
2748728,hefu liu,https://www.semanticscholar.org/author/2748728
48692115,s. zhang,https://www.semanticscholar.org/author/48692115
1700522,guoyin wang,https://www.semanticscholar.org/author/1700522
1485726475,m. nadeem,https://www.semanticscholar.org/author/1485726475
101279546,r. mohammed,https://www.semanticscholar.org/author/101279546
114760537,syarizan dalib,https://www.semanticscholar.org/author/114760537
1485316018,hadi sam nariman,https://www.semanticscholar.org/author/1485316018
1485313833,ali mohammad soufizadeh,https://www.semanticscholar.org/author/1485313833
66302286,j. elahi,https://www.semanticscholar.org/author/66302286
25014960,elena jerves,https://www.semanticscholar.org/author/25014960
21845057,lucia de haene,https://www.semanticscholar.org/author/21845057
7195764,p. rober,https://www.semanticscholar.org/author/7195764
5991405,p. enzlin,https://www.semanticscholar.org/author/5991405
122178020,mathew nyashanu,https://www.semanticscholar.org/author/122178020
6638055,s. mbalinda,https://www.semanticscholar.org/author/6638055
2006497305,fungisai mushawa,https://www.semanticscholar.org/author/2006497305
2005747348,m. s. ekpenyong,https://www.semanticscholar.org/author/2005747348
143800029,sarah marshall,https://www.semanticscholar.org/author/143800029
144510659,linda lill,https://www.semanticscholar.org/author/144510659
116080915,linda vikdahl,https://www.semanticscholar.org/author/116080915
7723465,g. ståhle,https://www.semanticscholar.org/author/7723465
1382532008,david gunnarsson,https://www.semanticscholar.org/author/1382532008
5976187,f. saboonchi,https://www.semanticscholar.org/author/5976187
1486199127,n. luth-hanssen,https://www.semanticscholar.org/author/1486199127
12071442,m. fougner,https://www.semanticscholar.org/author/12071442
20492653,m. mobashery,https://www.semanticscholar.org/author/20492653
51893330,u. v. lersner,https://www.semanticscholar.org/author/51893330
26654393,kerem böge,https://www.semanticscholar.org/author/26654393
41037079,l. fuchs,https://www.semanticscholar.org/author/41037079
5897427,g. schomerus,https://www.semanticscholar.org/author/5897427
50437245,m. franke,https://www.semanticscholar.org/author/50437245
32376513,m. angermeyer,https://www.semanticscholar.org/author/32376513
46374732,eric hahn,https://www.semanticscholar.org/author/46374732
51146211,weerati pongthippat,https://www.semanticscholar.org/author/51146211
4570603,g. östlund,https://www.semanticscholar.org/author/4570603
95666084,mehrdad darvishpour,https://www.semanticscholar.org/author/95666084
7584961,jureerat kijsomporn,https://www.semanticscholar.org/author/7584961
66338763,lena-karin gustafsson,https://www.semanticscholar.org/author/66338763
144872343,j. coope,https://www.semanticscholar.org/author/144872343
123679603,a. barrett,https://www.semanticscholar.org/author/123679603
144600160,b. brown,https://www.semanticscholar.org/author/144600160
69408730,m. crossley,https://www.semanticscholar.org/author/69408730
5245376,m. sivakami,https://www.semanticscholar.org/author/5245376
48192622,r. raghavan,https://www.semanticscholar.org/author/48192622
123339957,s. pemberton,https://www.semanticscholar.org/author/123339957
46251844,s. samerski,https://www.semanticscholar.org/author/46251844
118373743,jill hanley,https://www.semanticscholar.org/author/118373743
115086122,lindsay larios,https://www.semanticscholar.org/author/115086122
1647237599,francesca meloni,https://www.semanticscholar.org/author/1647237599
153496749,margaret zimmerman,https://www.semanticscholar.org/author/153496749
115484313,h. beam,https://www.semanticscholar.org/author/115484313
1435879264,jason semprini,https://www.semanticscholar.org/author/1435879264
83589580,chika ejike,https://www.semanticscholar.org/author/83589580
79105885,grace lartey,https://www.semanticscholar.org/author/79105885
1382841690,david ciochetty,https://www.semanticscholar.org/author/1382841690
1579637300,salma el-gamal,https://www.semanticscholar.org/author/1579637300
6460086,j. hanefeld,https://www.semanticscholar.org/author/6460086
50565051,b. johannessen,https://www.semanticscholar.org/author/50565051
1401067238,m. høie,https://www.semanticscholar.org/author/1401067238
4156631,k. haraldstad,https://www.semanticscholar.org/author/4156631
6360644,s. helseth,https://www.semanticscholar.org/author/6360644
4084580,l. fegran,https://www.semanticscholar.org/author/4084580
6953253,t. westergren,https://www.semanticscholar.org/author/6953253
1397948616,åshild slettebø,https://www.semanticscholar.org/author/1397948616
33403980,g. rohde,https://www.semanticscholar.org/author/33403980
13821908,william mude,https://www.semanticscholar.org/author/13821908
1396952066,h. barrett,https://www.semanticscholar.org/author/1396952066
5114077,lillian artz,https://www.semanticscholar.org/author/5114077
80583693,rachel hoare,https://www.semanticscholar.org/author/80583693
