Paper ID,Topic ID
d805fa042d37aa462d22026acf9d5e51d09dfe79,555092
f0d0b7bc4e2e8efe25a0fcec4f1790486660c2d4,155706
b0336575e305e1d6bbc40d0de7fcb01f2d88393e,4083837
f6b5dac39b8258728a047ec4f6442b571094eb9f,269965
d0058915656420ad3b90a0e20557baae4bf35ee8,9734
a18cceb3607205d0c1afb7dea8d4af28fc643070,4796479
07c6dfd6fd5218fcd2020970ec5ea6a413cfbeb8,52305
2727d6794bc0f40f995ea7faac88451909a72c3a,219342
68106c52831e596e93e362d21edd77df30e5c61f,81834
d25d9a0fc3ccee706cfbb0b2f60c9d911ce88f2d,5053507
25188c6b6356ac5524299ef2e6010371e1909f66,253685
01d24d85aff58d529993253126a1ca11a602f68c,85502
cc45e66fba42a57123ac05246346f6d8763d262b,546740
19e7100d1ecbe4b8782ccb9cfa92b9bcc820e16e,4298
90dfc580ec9bcffd8b63db2cf6febcf7353fc1a5,995085
b8e2c7022deb62ac6f6b842df28100cccd483ea9,9043
d3951e42a21c3aa6eb7974b1ed327001ddfea108,332328
45fb662a1973bc3d8e08fabee3d5b9f506dbf546,120609
2dde135da06cf139f503f72db9319f34958d4cce,22495
ddcbb71355b26460c00a4028d1b354c214ff2fd6,93264
61fadf625283caa7c8b3be24b87e4b7a2a687a1f,92119
c5c413baf474a1e9819e31329618f33e57fcb3c6,745
c0e13245688e5ab893d251173e538068723e043c,242931
dea2cf82c385ee63d4510c51dadb7643d9ad705c,1868
329bcfba6ae37c4c320d96a63cff274e3fd1c85e,531104
e3f2867bccb7e5b0831cfcb093b671a192ccafbe,5099347
67c9d03eca380eeb9e68e82946593a92c05f8dc0,1489
c3b4bdb2899eeb6e4f2225bf2cb1b864a8c3fec4,5335022
1172b9ca2e0b0a69cc3bb1efc0e2535d8521ea6b,4905183
81eee111337e2e50bea2d74b63d1093080ed71b2,32515
624d3dc0ff5435406ef19a2d76b40eb99ab40e91,67897
f1ed247efafe3934297d75ccb2f59d1cf6c81bd1,118154
3ca97e0d57d9bf4b4bbd576e76b879689043ca6f,48669
27a4212d06d734ba3e889cce1a23dc5dce253b7a,209712
f903226d7c76cef3ef4a62a9f837f4f45acb3191,164366
d1d32ddbd842e0b1426144d73f1d83857fa16320,1301
190947e747ef9e3e90b82d42f7923958709fce66,3439
ad93bcfd4082f4a81014847059bfe37894ca7ba2,785072
4c0fe13a71a982773593846044f34e81997a1608,226294
72b0abab34edd851f71a47c571f4a2419b32c018,82179
817ec9bea58abfe6d39cc216df60512b00969981,3184501
5d5e74be22715922ec7d504fa323d7491ead021f,124830
b0336575e305e1d6bbc40d0de7fcb01f2d88393e,1299115
89b9e28e1c246e5f27a8d0d27544f7c39ee302a0,17598
7420b799281564ea421e18ce5c74ac85285f5f5a,28315
f59c9b5ea81c59725aa21e708362ab7b7cac5929,2925
0770fc609f42c8f81fac185d589a86aaab7f77cc,1293717
002125729c2521a9f664367852d05bc474ae9744,116498
e923ab4cedcbbc16a98b262080db8c9c94e79760,4493
aeac68f77c827402fd824afd2d14385e3daa82cd,6649
6f2d7670721ebb67c9e438a4f9cf0aa667806997,1684
a6a1a3a793da614fbcd70a348abff725a82a96d7,3823496
fbb78988a9d78670d78ea656cd8f0bfdb6b58154,116887
94754018925f2a9b7816cbf8da098113152e746e,2383770
bf344ccc327301f30b79f65c56df4a3bd0780723,2296736
7a0046d708d2fa5f51f834bab09bb24589a19cdf,650817
b2bb73375d5a8b519a3c61c0122a67d6657ced45,28597
dc9b0e7ef342384df9bdf67bf49ec6bce33d625a,11414
185d2dfc864d408c8e4c306419a9b536d323e277,130492
d25d9a0fc3ccee706cfbb0b2f60c9d911ce88f2d,826014
b65df2cb0d582063e2bbd48c3ebf08b9649c8707,587484
e905e18a8d2f0a5f54cd881d72663adc9a4d9a3e,2168061
3c69121a48679a4a723868f62133e4caeba2a283,21229
1c76d84a1c0611a2ab39154cdc1cc4a5cce3f962,17093
4e7c93c38eaf34be42df9acfb0279d2a35897e14,13981
140fb036dfe5e3391f89b4db1d64774f05fe27d4,236514
5d3c8b625afa2f56a94aba8328aea81bb4e1a6c6,17947
b8ae89e99d90a3fae76c9fb140a03a3eb25e14f2,227952
f27293e429df0308fee41135c1b5498d01875b0d,1885274
c45ee6e8f346a1c5110ff40fb00eca4c5b94ae34,1626
4a8587f34230824113cfdc75787237e7a735fdc2,488259
f07c8333d71f778aef1c328c3240427bdc66c76a,2471399
dada8d4d1ee9f54c57f22f5c0d130088e0022122,306
be5daa434618d65fa4d1863ac9debdf0701a9509,268503
798b4e8226459d8772da34ad02a805e64b56fbc3,6171151
357a65334bc09a7b62009ed8cd4e4142bb2b9318,4723676
331811c7ed632600f80176474a8259d45c4a957b,394779
f318d9f661b59093ae8060eb635c28eb68214ae1,8954057
0d930900d93bc5bbf91063edcabf5c364422d893,759116
